BEGIN_DATE_GMT,BEGIN_TIME_GMT,DATE,HE,POOL_PRICE,AIL_DEMAND,EDMONTON_TEMP,CALGARY_TEMP,FORT_MCMURRAY_TEMP,LETHBRIDGE_TEMP
2017-06-01 14:00:00,14:00:00,2017-06-01,9,18.29,9307,16,15.2,18.1,17.1
2017-06-01 15:00:00,15:00:00,2017-06-01,10,18.35,9486,17,17.1,19.6,18.7
2017-06-01 16:00:00,16:00:00,2017-06-01,11,20.15,9606,18,18,18.8,19.3
2017-06-01 17:00:00,17:00:00,2017-06-01,12,20.14,9701,18,19.4,18.1,20.4
2017-06-01 18:00:00,18:00:00,2017-06-01,13,19.68,9758,18,20.5,18.4,21.2
2017-06-01 19:00:00,19:00:00,2017-06-01,14,20.47,9804,21,20.4,19.3,22.1
2017-06-01 20:00:00,20:00:00,2017-06-01,15,20.43,9795,23,20.8,18,23.5
2017-06-01 21:00:00,21:00:00,2017-06-01,16,20.33,9849,24,20.5,20.1,23.3
2017-06-01 22:00:00,22:00:00,2017-06-01,17,18.48,9915,24,20.1,21.1,22.8
2017-06-01 23:00:00,23:00:00,2017-06-01,18,20.4,9880,24,23.2,23.2,22.1
2017-06-02 00:00:00,00:00:00,2017-06-01,19,18.75,9695,24,21.2,23.9,22.1
2017-06-02 01:00:00,01:00:00,2017-06-01,20,20.31,9576,24,21.7,24.2,20.8
2017-06-02 02:00:00,02:00:00,2017-06-01,21,19.77,9467,24,21.1,23.4,19.7
2017-06-02 03:00:00,03:00:00,2017-06-01,22,18.23,9377,22,20.1,21.5,17.9
2017-06-02 04:00:00,04:00:00,2017-06-01,23,17.81,9211,21,18.9,18.4,17
2017-06-02 05:00:00,05:00:00,2017-06-01,24,15.86,8824,19,17.5,17.3,15.3
2017-06-02 06:00:00,06:00:00,2017-06-02,1,12.56,8516,18,17.3,13.8,13.6
2017-06-02 07:00:00,07:00:00,2017-06-02,2,0.01,8318,17,16.9,13.8,12.4
2017-06-02 08:00:00,08:00:00,2017-06-02,3,0.01,8183,16,15.8,13.4,12.4
2017-06-02 09:00:00,09:00:00,2017-06-02,4,0.01,8133,16,13.9,11.1,13.9
2017-06-02 10:00:00,10:00:00,2017-06-02,5,0.01,8140,15,12.6,9.7,13.3
2017-06-02 11:00:00,11:00:00,2017-06-02,6,12.58,8210,15,13.8,10.8,13.1
2017-06-02 12:00:00,12:00:00,2017-06-02,7,15.21,8494,13,14.3,11.6,14
2017-06-02 13:00:00,13:00:00,2017-06-02,8,15.99,8973,13,15.2,12.4,15
2017-06-02 14:00:00,14:00:00,2017-06-02,9,17.14,9269,13,15.1,15.8,16.6
2017-06-02 15:00:00,15:00:00,2017-06-02,10,20.47,9507,13,16.4,18.4,18.1
2017-06-02 16:00:00,16:00:00,2017-06-02,11,20.53,9624,13,17.8,19,19.1
2017-06-02 17:00:00,17:00:00,2017-06-02,12,18.88,9697,13,18.8,22.3,20
2017-06-02 18:00:00,18:00:00,2017-06-02,13,18.51,9685,14,19.6,22.5,20.4
2017-06-02 19:00:00,19:00:00,2017-06-02,14,18.8,9735,15,20.4,24.8,20.7
2017-06-02 20:00:00,20:00:00,2017-06-02,15,19.95,9754,17,20.6,24.7,22.2
2017-06-02 21:00:00,21:00:00,2017-06-02,16,20.42,9731,17,20.5,24.8,22.4
2017-06-02 22:00:00,22:00:00,2017-06-02,17,25.87,9670,19,20.9,18.7,22.8
2017-06-02 23:00:00,23:00:00,2017-06-02,18,19.75,9447,13,20.7,18,22.3
2017-06-03 00:00:00,00:00:00,2017-06-02,19,18.5,9157,13,20.7,15.1,21.6
2017-06-03 01:00:00,01:00:00,2017-06-02,20,18.44,9057,14,20.4,15.2,21.2
2017-06-03 02:00:00,02:00:00,2017-06-02,21,18.56,8925,14,19.8,15.2,20.2
2017-06-03 03:00:00,03:00:00,2017-06-02,22,19.76,8798,16,18.5,15.7,18.4
2017-06-03 04:00:00,04:00:00,2017-06-02,23,21.01,8673,14,17,15.3,17.1
2017-06-03 05:00:00,05:00:00,2017-06-02,24,19.13,8461,13,15.9,14.5,15.9
2017-06-03 06:00:00,06:00:00,2017-06-03,1,18.39,8214,13,15.3,14.3,14.1
2017-06-03 07:00:00,07:00:00,2017-06-03,2,15.49,8030,13,12.2,14.1,13.3
2017-06-03 08:00:00,08:00:00,2017-06-03,3,14.07,7865,12,10.7,13.8,10.1
