,Date,SOURCE_TIMEZONE,OK_Crude_Future_C1_CAD_per_bbl,OK_Crude_Future_C2_CAD_per_bbl,OK_Crude_Future_C3_CAD_per_bbl,OK_Crude_Future_C4_CAD_per_bbl
0,2010-01-04,MST,84.591078,85.224136,85.77417,86.261936
1,2010-01-05,MST,84.811844,85.475652,86.077228,86.626944
2,2010-01-06,MST,85.958212,86.54725,87.125954,87.694324
3,2010-01-07,MST,85.561366,86.109969,86.689625,87.248579
4,2010-01-08,MST,85.5966,86.16552,86.755128,87.375768
5,2010-01-11,MST,85.135884,85.641417,86.198535,86.807238
6,2010-01-12,MST,83.819625,84.213875,84.76375,85.3655
7,2010-01-13,MST,82.21473,82.617288,83.19532,83.824962
8,2010-01-14,MST,81.462079,81.964868,82.570267,83.226971
9,2010-01-15,MST,80.2386,80.619219,81.236439,81.925668
10,2010-01-19,MST,81.611856,81.921696,82.427768,83.03712
11,2010-01-20,MST,81.330236,81.455972,81.969394,82.61903
12,2010-01-21,MST,79.785096,80.257011,80.886231,81.525938
13,2010-01-22,MST,78.744056,79.145488,79.715944,80.33922
14,2010-01-25,MST,79.640132,80.095158,80.708914,81.312088
15,2010-01-26,MST,79.237426,79.70409,80.319238,80.913174
16,2010-01-27,MST,78.510119,79.021655,79.661075,80.268524
17,2010-01-28,MST,78.375052,78.832701,79.439352,80.014074
18,2010-01-29,MST,77.62785,78.11775,78.75675,79.37445
19,2010-02-01,MST,79.290279,79.801623,80.451456,81.079983
20,2010-02-02,MST,81.917861,82.437604,83.095238,83.699837
21,2010-02-03,MST,81.668082,82.145487,82.803245,83.429176
22,2010-02-04,MST,78.508476,78.937836,79.581876,80.225916
23,2010-02-05,MST,76.351275,76.7052,77.166375,77.702625
24,2010-02-08,MST,76.864788,77.292468,77.794992,78.329592
25,2010-02-09,MST,78.83875,79.3198,79.86499,80.43156
26,2010-02-10,MST,79.520292,79.915119,80.395314,80.918193
27,2010-02-11,MST,79.217144,79.680156,80.216829,80.742979
28,2010-02-12,MST,78.066303,78.45595,79.014093,79.582767
29,2010-02-16,MST,80.290626,80.718092,81.239392,81.760692
30,2010-02-17,MST,80.848515,81.266715,81.77901,82.291305
31,2010-02-18,MST,82.633512,83.009784,83.45922,83.898204
32,2010-02-19,MST,83.16202,83.42252,83.8289,84.2457
33,2010-02-22,MST,83.590848,83.747268,84.174816,84.602364
34,2010-02-23,MST,82.937062,83.389293,83.862558,84.314789
35,2010-02-24,MST,84.4,84.8009,85.2229,85.63435
36,2010-02-25,MST,83.446475,83.830775,84.22575,84.620725
37,2010-02-26,MST,83.850116,84.218526,84.597462,84.955346
38,2010-03-01,MST,79.8805,80.2662,80.6722,81.0579
39,2010-03-02,MST,82.277568,82.669956,83.062344,83.444406
40,2010-03-03,MST,83.190969,83.592162,83.983068,84.3534
41,2010-03-04,MST,82.688489,83.121467,83.60599,84.059586
42,2010-03-05,MST,83.8309,84.262912,84.725782,85.188652
43,2010-03-08,MST,84.211482,84.664066,85.147508,85.63095
44,2010-03-09,MST,83.535399,83.914686,84.36573,84.827025
45,2010-03-10,MST,84.084787,84.433049,84.801797,85.211517
46,2010-03-11,MST,84.285915,84.614395,84.97367,85.38427
47,2010-03-12,MST,82.759188,83.064798,83.411156,83.788075
48,2010-03-15,MDT,81.53166,81.817736,82.175331,82.55336
49,2010-03-16,MDT,82.90916,83.183156,83.528188,83.87322
50,2010-03-17,MDT,83.867109,84.150273,84.504228,84.837957
51,2010-03-18,MDT,83.34258,83.687306,84.092866,84.498426
52,2010-03-19,MDT,81.93054,82.225035,82.62108,83.037435
53,2010-03-22,MDT,82.818125,83.17488,83.552021,83.969934
54,2010-03-23,MDT,83.367998,83.71405,84.100814,84.436688
55,2010-03-24,MDT,82.762287,83.172967,83.614448,83.994327
56,2010-03-25,MDT,82.043964,82.512612,82.991448,83.368404
57,2010-03-26,MDT,82.28,82.763395,83.26736,83.647905
58,2010-03-29,MDT,83.838051,84.266577,84.705306,85.011396
59,2010-03-30,MDT,83.918556,84.326076,84.733596,85.029048
60,2010-03-31,MDT,85.066656,85.493208,85.889292,86.163504
61,2010-04-01,MDT,85.506525,85.98005,86.42335,86.755825
62,2010-04-05,MDT,86.83655,87.347825,87.83905,88.19995
63,2010-04-06,MDT,86.848684,87.158715,87.658765,88.028802
64,2010-04-07,MDT,86.13764,86.76953,87.43151,87.95307
65,2010-04-08,MDT,85.56078,86.20206,86.9235,87.51468
