,Date,SOURCE_TIMEZONE,OK_WTI_Spot_CAD_per_bbl
0,2010-01-04,MST,84.601456
1,2010-01-05,MST,84.780728
2,2010-01-06,MST,85.896208
3,2010-01-07,MST,85.49926
4,2010-01-08,MST,85.586256
5,2010-01-11,MST,85.156518
6,2010-01-12,MST,83.819625
7,2010-01-13,MST,82.225052
8,2010-01-14,MST,81.421035
9,2010-01-15,MST,80.197452
10,2010-01-19,MST,81.570544
11,2010-01-20,MST,81.120676
12,2010-01-21,MST,79.533408
13,2010-01-22,MST,78.4377
14,2010-01-25,MST,79.25918
15,2010-01-26,MST,79.195002
16,2010-01-27,MST,78.478148
17,2010-01-28,MST,78.353766
18,2010-01-29,MST,77.58525
19,2010-02-01,MST,79.268973
20,2010-02-02,MST,81.896647
21,2010-02-03,MST,81.646864
22,2010-02-04,MST,78.497742
23,2010-02-05,MST,76.308375
24,2010-02-08,MST,76.843404
25,2010-02-09,MST,78.79599
26,2010-02-10,MST,79.477608
27,2010-02-11,MST,79.164529
28,2010-02-12,MST,78.045241
29,2010-02-16,MST,80.259348
30,2010-02-17,MST,80.785785
31,2010-02-18,MST,82.539444
32,2010-02-19,MST,83.12034
33,2010-02-22,MST,83.465712
34,2010-02-23,MST,82.674137
35,2010-02-24,MST,84.13625
36,2010-02-25,MST,83.254325
37,2010-02-26,MST,83.913272
38,2010-03-01,MST,79.89065
39,2010-03-02,MST,82.215612
40,2010-03-03,MST,83.232117
41,2010-03-04,MST,82.688489
42,2010-03-05,MST,83.8309
43,2010-03-08,MST,84.19091
44,2010-03-09,MST,83.54565
45,2010-03-10,MST,84.064301
46,2010-03-11,MST,84.27565
47,2010-03-12,MST,82.779562
48,2010-03-15,MDT,81.521443
49,2010-03-16,MDT,82.9599
50,2010-03-17,MDT,83.867109
51,2010-03-18,MDT,83.302024
52,2010-03-19,MDT,81.82899
53,2010-03-22,MDT,82.828318
54,2010-03-23,MDT,83.133904
55,2010-03-24,MDT,82.433743
56,2010-03-25,MDT,81.7587
57,2010-03-26,MDT,82.022875
58,2010-03-29,MDT,83.582976
59,2010-03-30,MDT,83.684232
60,2010-03-31,MDT,84.75182
61,2010-04-01,MDT,85.163975
62,2010-04-05,MDT,86.5759
63,2010-04-06,MDT,86.548654
64,2010-04-07,MDT,85.89692
65,2010-04-08,MDT,85.34034
66,2010-04-09,MDT,85.0653
67,2010-04-12,MDT,84.196105
68,2010-04-13,MDT,84.03464
69,2010-04-14,MDT,85.286082
70,2010-04-15,MDT,85.36935
71,2010-04-16,MDT,84.197956
72,2010-04-19,MDT,83.158552
73,2010-04-20,MDT,82.863828
74,2010-04-21,MDT,82.647552
75,2010-04-22,MDT,82.997757
76,2010-04-23,MDT,84.567718
77,2010-04-26,MDT,84.27578
78,2010-04-27,MDT,83.856039
79,2010-04-28,MDT,84.285216
80,2010-04-29,MDT,85.629918
81,2010-04-30,MDT,87.068412
82,2010-05-03,MDT,87.344946
83,2010-05-04,MDT,84.516968
84,2010-05-05,MDT,82.128
85,2010-05-06,MDT,80.552766
86,2010-05-07,MDT,78.33681
87,2010-05-10,MDT,78.781494
